100m,110mH,200m,300m,400m,400mH,4x100m,4x200m,4x400m,Points
10.25,,,32.43,45.84,50.16,39.37,1:22.60,3:04.58,1122
,13.70,20.64,32.44,45.86,50.18,39.38,1:22.63,3:04.65,1121
,,20.65,32.46,45.87,50.20,39.39,1:22.66,3:04.72,1120
,13.71,,32.47,45.89,50.22,39.41,1:22.68,3:04.78,1119
10.26,,20.66,32.48,45.90,50.24,39.42,1:22.71,3:04.85,1118
,13.72,20.67,32.49,45.92,50.26,39.43,1:22.74,3:04.92,1117
,,,32.50,45.93,50.28,39.45,1:22.76,3:04.98,1116
10.27,13.73,20.68,32.51,45.95,50.31,39.46,1:22.79,3:05.05,1115
,13.74,20.69,32.52,45.96,50.33,39.47,1:22.82,3:05.12,1114
,,,32.53,45.98,50.35,39.49,1:22.85,3:05.18,1113
10.28,13.75,20.70,32.54,45.99,50.37,39.50,1:22.87,3:05.25,1112
,,20.71,32.56,46.01,50.39,39.51,1:22.90,3:05.32,1111
,13.76,,32.57,46.02,50.41,39.53,1:22.93,3:05.38,1110
,,20.72,32.58,46.04,50.43,39.54,1:22.96,3:05.45,1109
10.29,13.77,20.73,32.59,46.05,50.45,39.55,1:22.98,3:05.52,1108
,,,32.60,46.07,50.47,39.57,1:23.01,3:05.59,1107
,13.78,20.74,32.61,46.08,50.49,39.58,1:23.04,3:05.65,1106
10.30,,20.75,32.62,46.10,50.51,39.59,1:23.07,3:05.72,1105
,13.79,,32.63,46.11,50.53,39.61,1:23.10,3:05.79,1104
,13.80,20.76,32.64,46.13,50.55,39.62,1:23.12,3:05.85,1103
10.31,,20.77,32.66,46.14,50.57,39.64,1:23.15,3:05.92,1102
,13.81,,32.67,46.16,50.59,39.65,1:23.18,3:05.99,1101
,,20.78,32.68,46.17,50.61,39.66,1:23.21,3:06.06,1100
10.32,13.82,20.79,32.69,46.19,50.63,39.68,1:23.23,3:06.12,1099
,,,32.70,46.20,50.65,39.69,1:23.26,3:06.19,1098
,13.83,20.80,32.71,46.22,50.67,39.70,1:23.29,3:06.26,1097
,,20.81,32.72,46.23,50.69,39.72,1:23.32,3:06.32,1096
10.33,13.84,,32.73,46.25,50.71,39.73,1:23.34,3:06.39,1095
,,20.82,32.74,46.26,50.73,39.74,1:23.37,3:06.46,1094
,13.85,20.83,32.76,46.28,50.75,39.76,1:23.40,3:06.53,1093
10.34,13.86,,32.77,46.29,50.77,39.77,1:23.43,3:06.59,1092
,,20.84,32.78,46.31,50.79,39.78,1:23.45,3:06.66,1091
,13.87,20.85,32.79,46.32,50.81,39.80,1:23.48,3:06.73,1090
10.35,,,32.80,46.34,50.84,39.81,1:23.51,3:06.80,1089
,13.88,20.86,32.81,46.35,50.86,39.83,1:23.54,3:06.86,1088
,,20.87,32.82,46.37,50.88,39.84,1:23.57,3:06.93,1087
,13.89,,32.83,46.38,50.90,39.85,1:23.59,3:07.00,1086
10.36,,20.88,32.85,46.40,50.92,39.87,1:23.62,3:07.07,1085
,13.90,20.89,32.86,46.41,50.94,39.88,1:23.65,3:07.14,1084
,,,32.87,46.43,50.96,39.89,1:23.68,3:07.20,1083
10.37,13.91,20.90,32.88,46.44,50.98,39.91,1:23.70,3:07.27,1082
,13.92,20.91,32.89,46.46,51.00,39.92,1:23.73,3:07.34,1081
,,,32.90,46.47,51.02,39.94,1:23.76,3:07.41,1080
10.38,13.93,20.92,32.91,46.49,51.04,39.95,1:23.79,3:07.47,1079
,,20.93,32.92,46.50,51.06,39.96,1:23.82,3:07.54,1078
,13.94,,32.94,46.52,51.08,39.98,1:23.84,3:07.61,1077
10.39,,20.94,32.95,46.53,51.10,39.99,1:23.87,3:07.68,1076
,13.95,20.95,32.96,46.55,51.12,40.00,1:23.90,3:07.75,1075
,,,32.97,46.56,51.14,40.02,1:23.93,3:07.81,1074
,13.96,20.96,32.98,46.58,51.16,40.03,1:23.96,3:07.88,1073
10.40,13.97,20.97,32.99,46.59,51.19,40.04,1:23.98,3:07.95,1072
,,20.98,33.00,46.61,51.21,40.06,1:24.01,3:08.02,1071
,13.98,,33.01,46.62,51.23,40.07,1:24.04,3:08.09,1070
10.41,,20.99,33.03,46.64,51.25,40.09,1:24.07,3:08.15,1069
,13.99,21.00,33.04,46.65,51.27,40.10,1:24.10,3:08.22,1068
,,,33.05,46.67,51.29,40.11,1:24.12,3:08.29,1067
10.42,14.00,21.01,33.06,46.68,51.31,40.13,1:24.15,3:08.36,1066
,,21.02,33.07,46.70,51.33,40.14,1:24.18,3:08.43,1065
,14.01,,33.08,46.71,51.35,40.15,1:24.21,3:08.50,1064
10.43,,21.03,33.09,46.73,51.37,40.17,1:24.24,3:08.56,1063
,14.02,21.04,33.11,46.74,51.39,40.18,1:24.26,3:08.63,1062
,14.03,,33.12,46.76,51.41,40.20,1:24.29,3:08.70,1061
,,21.05,33.13,46.77,51.43,40.21,1:24.32,3:08.77,1060
10.44,14.04,21.06,33.14,46.79,51.45,40.22,1:24.35,3:08.84,1059
,,,33.15,46.80,51.48,40.24,1:24.38,3:08.91,1058
,14.05,21.07,33.16,46.82,51.50,40.25,1:24.41,3:08.98,1057
10.45,,21.08,33.17,46.83,51.52,40.27,1:24.43,3:09.04,1056
,14.06,,33.18,46.85,51.54,40.28,1:24.46,3:09.11,1055
,,21.09,33.20,46.87,51.56,40.29,1:24.49,3:09.18,1054
10.46,14.07,21.10,33.21,46.88,51.58,40.31,1:24.52,3:09.25,1053
,14.08,,33.22,46.90,51.60,40.32,1:24.55,3:09.32,1052
,,21.11,33.23,46.91,51.62,40.33,1:24.57,3:09.39,1051
10.47,14.09,21.12,33.24,46.93,51.64,40.35,1:24.60,3:09.46,1050
,,21.13,33.25,46.94,51.66,40.36,1:24.63,3:09.53,1049
,14.10,,33.26,46.96,51.68,40.38,1:24.66,3:09.59,1048
10.48,,21.14,33.28,46.97,51.70,40.39,1:24.69,3:09.66,1047
,14.11,21.15,33.29,46.99,51.73,40.40,1:24.72,3:09.73,1046
,,,33.30,47.00,51.75,40.42,1:24.74,3:09.80,1045
,14.12,21.16,33.31,47.02,51.77,40.43,1:24.77,3:09.87,1044
10.49,14.13,21.17,33.32,47.03,51.79,40.45,1:24.80,3:09.94,1043
,,,33.33,47.05,51.81,40.46,1:24.83,3:10.01,1042
